make,model_name,model_details,price,kms,year,transmission,detailsLink,type1,type2,type 3,,,
Ford,ranger, 3.2XLT 4x4 A/T 4x4,"299,900","230,000",2016,Automatic,https://www.namcars.net/Ford-Ranger-3.2XLT-4x4-A-T-4x4-1400735143,4x4,Bakkie,,,,
Toyota,landcruiser, 4.0 V6 D/C 4x4 7...,"575,000","230,000",2019,Manual,https://www.namcars.net/Toyota-Landcruiser-4.0-V6-D-C-4x4-79-Low-Deposit-1400734708,4x4,Bakkie,,,,
Toyota,landcruiser, 4.2 P/U S/C 4X4,"395,900","229,500",2012,Manual,https://www.namcars.net/Toyota-Landcruiser-4.2-P-U-S-C-4X4-1400734934,4x4,,,,,
Toyota,fortuner, 2.8 GD-6 R/B Auto,"279,000","226,000",2016,Automatic,https://www.namcars.net/Toyota-Fortuner-2.8-GD-6-R-B-Auto-1400734470,,,,,,
Toyota,hilux, DC 2.8GD6 4x4 Raider MT,"434,900","226,000",2017,Manual,https://www.namcars.net/Toyota-Hilux-DC-2.8GD6-4x4-Raider-MT-1400732851,4x4,Bakkie,,,,
Ford,ranger, 2.2 TDCI XL 4x2 Sup/Cab,"179,900","225,000",2014,Manual,https://www.namcars.net/Ford-Ranger-2.2-TDCI-XL-4x2-Sup-Cab-1400735090,,,,,,
Toyota,hilux, 2.8 RAIDER 4X2 D/CAB A...,"369,900","225,000",2016,Automatic,https://www.namcars.net/Toyota-HILUX-2.8-RAIDER-4X2-D-CAB-AUTO-1400733148,,Bakkie,,,,
Ford,ranger, 2.2 XLS D/CAB 4X4 MAN...,"269,900","224,000",2015,Manual,https://www.namcars.net/Ford-RANGER-2.2-XLS-D-CAB-4X4-MAN-(DEPOSIT-ASSISTANCE-)-1400729934,4x4,Bakkie,,,,
Toyota,hilux, 2.7 VVTI R/BODY LEGEND...,"229,900","220,000",2015,Manual,https://www.namcars.net/Toyota-HILUX-2.7-VVTI-R-BODY-LEGEND-45-1400734592,,,,,,
Toyota,toyota, HILUX 2.4 SRX 4X4 A/T...,"460,000","220,000",2020,Automatic,https://www.namcars.net/Toyota-TOYOTA-HILUX-2.4-SRX-4X4-A-T-P-U-D-C-1400733346,4x4,Bakkie,,,,
Toyota,hilux, 2.8 DC 4x4 A/T,"489,900","220,000",2017,Automatic,https://www.namcars.net/Toyota-Hilux-2.8-DC-4x4-A-T-1400733929,4x4,Bakkie,,,,
Ford,ranger, 2.2tdci XL D/C P/U,"175,000","219,000",2015,Manual,https://www.namcars.net/Ford-Ranger-2.2tdci-XL-D-C-P-U-1400734107,,Bakkie,,,,
Mercedes-Benz,c200, CGI BE Aventgarde,"149,995","218,000",2011,Automatic,https://www.namcars.net/Mercedes-Benz-C200-CGI-BE-Aventgarde-1400733030,,,,,,
