make,model_name,model_details,price,kms,year,transmission,detailsLink,type1,type2,type 3,,,
Toyota,corolla, 1.6 Quest,"172,600","161,000",2016,Manual,https://www.namcars.net/Toyota-Corolla-1.6-Quest-1400730029,,,,,,
Toyota,hilux, 2.0 VVTI + A/C S/C LWB,"270,000","160,700",2019,Manual,https://www.namcars.net/Toyota-Hilux-2.0-VVTI-A-C-S-C-LWB-1400733612,,,,,,
Volkswagen,jetta, 1.4 TSI Comfortline DSG,"215,000","160,100",2016,Automatic,https://www.namcars.net/Volkswagen-Jetta-1.4-TSI-Comfortline-DSG-1400722755,,,,,,
Toyota,hilux, 2.8 XC4x4 A/T Dakar,"460,000","160,000",2018,Automatic,https://www.namcars.net/Toyota-Hilux-2.8-XC4x4-A-T-Dakar-1400734467,4x4,,,,,
Renault,duster, 1.5 DCI DYNAMIQUW 4X4,"170,000","160,000",2015,Manual,https://www.namcars.net/Renault-Duster-1.5-DCI-DYNAMIQUW-4X4-1400733893,4x4,,,,,
Suzuki,jimny, GLX,"289,995","160,000",2021,Automatic,https://www.namcars.net/Suzuki-Jimny-GLX-1400734188,4x4,,SUV,,,
Toyota,hilux, 4x4 3lt D4D Ext Cab,"329,900","159,500",2014,Manual,https://www.namcars.net/Toyota-Hilux-4x4-3lt-D4D-Ext-Cab-1400734617,4x4,,,,,
Ford,ecosport, 1.5tdci Titanium,"113,000","159,000",2015,Manual,https://www.namcars.net/Ford-Ecosport-1.5tdci-Titanium-1400732581,,,SUV,,,
Renault,duster, 1.5 Dci Dynamique 4x4,"205,000","159,000",2017,Manual,https://www.namcars.net/Renault-Duster-1.5-Dci-Dynamique-4x4-1400725756,4x4,,SUV,,,
Toyota,rav, 4  2.0  GX 2WD,"190,000","158,800",2014,Manual,https://www.namcars.net/Toyota-Rav-4-2.0-GX-2WD-1400734291,,,SUV,,,
Mercedes-Benz,ml, 500 BE 5.5 BITURBO V8 4Ma...,"319,000","158,000",2015,Automatic,https://www.namcars.net/Mercedes-Benz-ML-500-BE-5.5-BITURBO-V8-4Matic-1400735012,4x4,,SUV,,,
Toyota,hilux, 4.0 V6 Raider 4x4 A/t ...,"469,000","158,000",2017,Automatic,https://www.namcars.net/Toyota-Hilux-4.0-V6-Raider-4x4-A-t-P-u-D-c-1400734599,4x4,Bakkie,,,,
Toyota,fortuner, 2.8gd-6 4x4 A/t,"439,000","157,000",2016,Automatic,https://www.namcars.net/Toyota-Fortuner-2.8gd-6-4x4-A-t-1400734212,4x4,,SUV,,,
Isuzu,kb300, LX D-Teq 4x4  Double C...,"285,500","157,000",2014,Manual,https://www.namcars.net/Isuzu-KB300-LX-D-Teq-4x4-Double-Cab-Manual-1400734556,4x4,Bakkie,,,,
Toyota,hilux, 2.8GD6 Raider D/C 2x4,"399,000","157,000",2017,Manual,https://www.namcars.net/Toyota-Hilux-2.8GD6-Raider-D-C-2x4-1400733892,,Bakkie,,,,
Ford,everest, 3.2TDCI A/T 4X2 R/B,"349,900","156,000",2018,Automatic,https://www.namcars.net/Ford-Everest-3.2TDCI-A-T-4X2-R-B-1400734481,,,SUV,,,
Toyota,hilux,  2.4 GD6 SR 4X4 LWB S/...,"379,900","156,000",2017,Manual,https://www.namcars.net/Toyota-Hilux-2.4-GD6-SR-4X4-LWB-S-CAB-1400733460,4x4,,,,,
Mitsubishi,triton, 2.4Di-DC  D/C 4X4,"389,900","156,000",2019,Manual,https://www.namcars.net/Mitsubishi-Triton-2.4Di-DC-D-C-4X4-1400734529,4x4,Bakkie,,,,
Toyota,2.8gd6, Leg 50 D/C A/T 4x4,"579,000","156,000",2019,Automatic,https://www.namcars.net/Toyota-2.8GD6-Leg-50-D-C-A-T-4x4-1400733014,4x4,Bakkie,,,,
Mitsubishi,pajero, 2.5TDI SPORT A/T 4X4,"259,900","156,000",2014,Automatic,https://www.namcars.net/Mitsubishi-Pajero-2.5TDI-SPORT-A-T-4X4-1400733865,4x4,,SUV,,,
Toyota,fortuner, 3.0 D4D Manual 4x2,"365,000","155,000",2016,Manual,https://www.namcars.net/Toyota-Fortuner-3.0-D4D-Manual-4x2-1400734209,,,SUV,,,
Toyota,rav4, 2.0 GX CVT,"339,900","155,000",2019,Automatic,https://www.namcars.net/Toyota-RAV4-2.0-GX-CVT-1400734893,,,SUV,,,
Toyota,fortuner, 2.4 GD-6 4X4 A/T,"430,000","154,800",2018,Automatic,https://www.namcars.net/Toyota-Fortuner-2.4-GD-6-4X4-A-T-1400730407,4x4,,SUV,,,
Mercedes-Benz,gle-class, 400 4Matic,"549,900","154,000",2016,Automatic,https://www.namcars.net/Mercedes-Benz-GLE-Class-400-4Matic-1400734552,,,SUV,,,
Ford,everest, 2.2 TDCi XLS 4x4,"397,900","153,804",2019,Manual,https://www.namcars.net/Ford-Everest-2.2-TDCi-XLS-4x4-1400734446,4x4,,,,,
Isuzu,mu-x, 3.0 4x4 Auto,"435,000","153,000",2019,Automatic,https://www.namcars.net/Isuzu-MU-X-3.0-4x4-Auto-1400731986,4x4,,SUV,,,
Toyota,fortuner, 2.4gd-6 R/B,"299,000","153,000",2016,Manual,https://www.namcars.net/Toyota-Fortuner-2.4gd-6-R-B-1400733060,,,,,,
Toyota,rav4, 2.0l manual (Local),"125,000","153,000",2005,Manual,https://www.namcars.net/Toyota-RAV4-2.0l-manual-(Local)-1400734419,,,SUV,,,
Land Rover,discovery, 3 TDV6 SE A/T,"199,900","152,700",2009,Automatic,https://www.namcars.net/Land-Rover-DISCOVERY-3-TDV6-SE-A-T-1400733656,4x4,,SUV,,,
Toyota,hilux, DC 2.8 GD6 Raider 4x4 ...,"570,000","152,000",2019,Manual,https://www.namcars.net/Toyota-Hilux-DC-2.8-GD6-Raider-4x4-Manual-1400733996,4x4,Bakkie,,,,
Isuzu,kb, 240 LE 4x4 D/C,"274,900","151,000",2017,Manual,https://www.namcars.net/Isuzu-KB-240-LE-4x4-D-C-1400735034,4x4,Bakkie,,,,
Ford,ford, Range 2.2 TDCI D/Cab XL...,"399,000","151,000",2021,Automatic,https://www.namcars.net/Ford-Ford-Range-2.2-TDCI-D-Cab-XL-6-AT-4x4-1400732750,4x4,Bakkie,,,,
Volkswagen,amarok, 2.0 BI-TDI 4-MOTION D...,"429,900","150,000",2017,DSG,https://www.namcars.net/Volkswagen-AMAROK-2.0-BI-TDI-4-MOTION-DSG-ULTIMATE-1400729922,4x4,Bakkie,,,,
Hyundai,tucson, 2.0D N-LINE,"395,900","150,000",2020,Automatic,https://www.namcars.net/Hyundai-TUCSON-2.0D-N-LINE-1400733532,,,SUV,,,
Volkswagen,jetta, GP 1.4TSi Comfortline ...,"229,900","150,000",2017,Manual,https://www.namcars.net/Volkswagen-Jetta-GP-1.4TSi-Comfortline-Bluemotion-MT-1400734865,,,,,,
Volkswagen,golf, VII TSI Comfortline,"249,995","150,000",2018,Manual,https://www.namcars.net/Volkswagen-Golf-VII-TSI-Comfortline-1400735138,,,,,,
Volkswagen,polo, TSI Trendline,"139,995","150,000",2016,Manual,https://www.namcars.net/Volkswagen-POLO-TSI-Trendline-1400735151,,,,,,
Volkswagen,tiguan, 1.4 TSI Trend&Fun Blu...,"199,900","148,000",2015,Manual,https://www.namcars.net/Volkswagen-Tiguan-1.4-TSI-Trend&Fun-BlueMotion-1400732307,,,SUV,,,
Audi,q3, TDI 2.0 A/T (Local) Diesel,"295,000","148,000",2017,Automatic,https://www.namcars.net/Audi-Q3-TDI-2.0-A-T-(Local)-Diesel-1400733436,,,SUV,,,
Volkswagen,amarok, Highline 4Motion 132 Kw,"359,995","147,000",2016,Automatic,https://www.namcars.net/Volkswagen-Amarok-Highline-4Motion-132-Kw-1400734607,4x4,Bakkie,,,,
Volkswagen,polo, Vivo Comfortline,"159,995","147,000",2019,Manual,https://www.namcars.net/Volkswagen-Polo-Vivo-Comfortline-1400735152,,,,,,
Audi,a5, Sportback TFSI Quatro Stron,"169,995","147,000",2013,Automatic,https://www.namcars.net/Audi-A5-Sportback-TFSI-Quatro-Stron-1400734701,,,,,,
Toyota,fortuner, 2.4gd-6 4x4 A/t,"489,000","146,500",2021,Automatic,https://www.namcars.net/Toyota-Fortuner-2.4gd-6-4x4-A-t-1400734598,4x4,,SUV,,,
Mercedes-Benz,c220, D  AMG,"350,000","146,181",2016,Tiptronic,https://www.namcars.net/Mercedes-Benz-C220-D-AMG-1400735075,,,,,,
Volkswagen,amarok, 3.0 V6 H/L Plus 4Moti...,"499,900","146,000",2017,Automatic,https://www.namcars.net/Volkswagen-Amarok-3.0-V6-H-L-Plus-4Motion-D-Cab-165kW-1400733575,,Bakkie,,,,
Toyota,toyota, Hilux 2.8GD6 4x4 A/T,"499,900","146,000",2018,Automatic,https://www.namcars.net/Toyota-Toyota-Hilux-2.8GD6-4x4-A-T-1400734643,4x4,Bakkie,,,,
Ford,Wildtrak,-,"449,900","145,000",2019,Automatic,https://www.namcars.net/Ford-Wildtrak-1400729869,4x4,Bakkie,,,,
Ford,ranger, 2.2 XLS D/CAB 4X4 AUT...,"419,900","145,000",2020,Automatic,https://www.namcars.net/Ford-RANGER-2.2-XLS-D-CAB-4X4-AUTO-(DEPOSIT-ASSISTANCE-)-1400732173,4x4,Bakkie,,,,
Toyota,hilux,  4.0 V6 4X4 AUTO D/C,"549,000","145,000",2017,Automatic,https://www.namcars.net/Toyota-Hilux-4.0-V6-4X4-AUTO-D-C-1400734735,4x4,Bakkie,,,,
Mitsubishi,pajero, Sport,"209,995","145,000",2011,Automatic,https://www.namcars.net/Mitsubishi-Pajero-Sport-1400733200,4x4,,SUV,,,
Chevrolet,1000+bhp, Lumina SSV 6.6L V8 ...,"799,900","145,000",2013,Automatic,https://www.namcars.net/Chevrolet-1000-BHP-Lumina-SSV-6.6L-V8-A-T-Procharged-1400730652,,,,,,
Toyota,landcruiser, 200 V8 4.5d Vx A/t,"799,000","145,000",2016,Automatic,https://www.namcars.net/Toyota-Landcruiser-200-V8-4.5d-Vx-A-t-1400735095,4x4,,SUV,,,
Volkswagen,amarok, 2.0 Bi-TDI Ultimate 4...,"379,900","145,000",2016,Automatic,https://www.namcars.net/Volkswagen-Amarok-2.0-Bi-TDI-Ultimate-4MOTION-132KW-1400732646,,Bakkie,,,,
Isuzu,mu-x, 3.0 4x4 Auto,"449,900","144,000",2019,Automatic,https://www.namcars.net/Isuzu-MU-X-3.0-4x4-Auto-1400730393,4x4,,SUV,,,
Nissan,juke, Acenta,"109,995","144,000",2013,Manual,https://www.namcars.net/Nissan-Juke-Acenta-1400734174,,,SUV,,,
Ford,ford, Ranger 2.0 Bi Turbo Thu...,"510,000","143,650",2021,Automatic,https://www.namcars.net/Ford-Ford-Ranger-2.0-Bi-Turbo-Thunder-10AT-4x4-D-Cab-1400732491,4x4,Bakkie,,,,
Toyota,2.8, GD6 FORTUNER 4X4 AT,"545,000","143,565",2019,Automatic,https://www.namcars.net/Toyota-2.8-GD6-FORTUNER-4X4-AT-1400730236,4x4,,,,,
Volkswagen,jetta, 1.4 Comfortline DSG,"209,900","143,300",2016,DSG,https://www.namcars.net/Volkswagen-Jetta-1.4-Comfortline-DSG-1400733646,,,,,,
Volkswagen,polo, 1.2 Tsi Comf,"159,900","143,000",2016,Manual,https://www.namcars.net/Volkswagen-Polo-1.2-Tsi-Comf-1400734788,,,,,,
Volkswagen,polo, 1.2 TSI,"149,900","143,000",2015,Manual,https://www.namcars.net/Volkswagen-POLO-1.2-TSI-1400734848,,,,,,
Renault,sandero, 900T Dynamique,"99,995","143,000",2015,Manual,https://www.namcars.net/Renault-Sandero-900T-Dynamique-1400735139,,,,,,
Toyota,hilux, 2.8 Gd-6 R/B Raider Auto,"399,000","143,000",2017,Automatic,https://www.namcars.net/Toyota-Hilux-2.8-Gd-6-R-B-Raider-Auto-1400734439,,Bakkie,,,,
Nissan,x-trail, 2.0 VISIA,"261,900","142,000",2019,Manual,https://www.namcars.net/Nissan-X-TRAIL-2.0-VISIA-1400735050,,,SUV,,,
Audi,q3, TFSI 125Kw Quatro,"199,995","142,000",2012,Automatic,https://www.namcars.net/Audi-Q3-TFSI-125Kw-Quatro-1400734887,,,SUV,,,
Toyota,hilux,-,"433,000","141,200",2016,Automatic,https://www.namcars.net/Toyota-hilux-1400732269,,Bakkie,,,,
Hyundai,i20, 1.4D Glide Man  2014,"89,900","141,000",2014,Manual,https://www.namcars.net/Hyundai-i20-1.4D-Glide-Man-2014-1400733379,,,,,,
Toyota,fortuner, 2.4gd-6 4x4 A/t,"469,000","141,000",2021,Automatic,https://www.namcars.net/Toyota-Fortuner-2.4gd-6-4x4-A-t-1400734205,4x4,,SUV,,,
Mercedes-Benz,c280, Avangarde Estate A/t 17...,"149,900","140,000",2008,Automatic,https://www.namcars.net/Mercedes-Benz-C280-Avangarde-Estate-A-t-170kW-1400734721,,,,,,
Toyota,etios, Cross 1.5 Xs,"159,900","140,000",2017,Manual,https://www.namcars.net/Toyota-Etios-Cross-1.5-Xs-1400735029,,,,,,
Volkswagen,tiguan, Bluemotion Tren-Fun 9...,"229,995","140,000",2015,Manual,https://www.namcars.net/Volkswagen-Tiguan-Bluemotion-Tren-Fun-90Kw-1400734908,,,SUV,,,
Toyota,Fortuner,-,"440,000","139,300",2017,Automatic,https://www.namcars.net/Toyota-Fortuner-1400731584,4x4,,,,,
Toyota,fortuner, 2.8 GD-6 2x4 AT,"429,900","139,200",2018,Automatic,https://www.namcars.net/Toyota-Fortuner-2.8-GD-6-2x4-AT-1400734757,,,SUV,,,
Toyota,camry, 2.4 XLi,"115,000","139,000",2003,Manual,https://www.namcars.net/Toyota-Camry-2.4-XLi-1400728110,,,,,,
Toyota,hilux, 2.8 GD-6 Raider AT,"419,900","139,000",2017,Automatic,https://www.namcars.net/Toyota-Hilux-2.8-GD-6-Raider-AT-1400732356,,Bakkie,,,,
Toyota,fortuner, 2.8GD6 4x4 AT,"499,900","138,800",2019,Automatic,https://www.namcars.net/Toyota-Fortuner-2.8GD6-4x4-AT-1400730854,4x4,,SUV,,,
Nissan,x-trail, 1.6 DCI XET32,"208,100","138,300",2015,Manual,https://www.namcars.net/Nissan-X-Trail-1.6-DCI-XET32-1400728058,,,,,,
Isuzu,kb250, D-TEQ HI-RIDER 4X4 S/CAB,"299,900","138,000",2018,Manual,https://www.namcars.net/Isuzu-KB250-D-TEQ-HI-RIDER-4X4-S-CAB-1400732826,4x4,,,,,
Ford,figo, 1.4 Ambiente,"69,000","138,000",2013,Manual,https://www.namcars.net/Ford-Figo-1.4-Ambiente-1400733916,,,,,,
Mercedes-Benz,c200, A/T,"279,900","137,700",2015,Automatic,https://www.namcars.net/Mercedes-Benz-C200-A-T-1400727728,,,,,,
Volkswagen,polo, Vivo Trendline,"129,995","137,000",2017,Manual,https://www.namcars.net/Volkswagen-Polo-Vivo-Trendline-1400734984,,,,,,
Toyota,land, Cruiser 4.5 V8 LX S/C 2...,"579,900","137,000",2016,Manual,https://www.namcars.net/Toyota-Land-Cruiser-4.5-V8-LX-S-C-2016-1400734974,4x4,,,,,
Toyota,fortuner, 2.4 GD 6 4x 2,"359,000","136,850",2016,Tiptronic,https://www.namcars.net/Toyota-Fortuner-2.4-GD-6-4x-2-1400730757,,,SUV,,,
Mercedes-Benz,ml, 350 Bluetec A/T,"425,000","136,500",2014,Automatic,https://www.namcars.net/Mercedes-Benz-ML-350-Bluetec-A-T-1400735167,,,SUV,,,
Suzuki,jimny, 1.3  A/T 4x4,"149,900","136,028",2011,Automatic,https://www.namcars.net/Suzuki-Jimny-1.3-A-T-4x4-1400733856,4x4,,SUV,,,
BMW,760, Li 400kW,"429,900","136,000",2013,Automatic,https://www.namcars.net/BMW-760-Li-400kW-1400733769,,,,,,
Volkswagen,beetle, 1.6TDI COMFORTLINE,"199,900","136,000",2014,Manual,https://www.namcars.net/Volkswagen-BEETLE-1.6TDI-COMFORTLINE-1400734645,,,,,,
Mercedes-Benz,gla,220,"299,000","136,000",2015,Automatic,https://www.namcars.net/Mercedes-Benz-GLA-220-1400733939,,,SUV,,,
Ford,tourneo, CONNECT,"165,000","135,659",2015,Manual,https://www.namcars.net/Ford-TOURNEO-CONNECT-1400734715,,,,,,
Toyota,land, Cruiser 79 4.0P PU DC,"499,900","135,500",2015,Manual,https://www.namcars.net/Toyota-Land-Cruiser-79-4.0P-PU-DC-1400734026,4x4,Bakkie,,,,
Subaru,legacy, 2.5 sports style,"135,000","135,000",2013,Automatic,https://www.namcars.net/Subaru-Legacy-2.5-sports-style-1400735062,,,,,,
Tata,super, ace,"132,900","135,000",2016,Manual,https://www.namcars.net/Tata-super-ace-1400729447,,,,,,
Toyota,avanza,1.5,"129,000","135,000",2016,Manual,https://www.namcars.net/Toyota-Avanza-1.5-1400732836,,,,,,
Toyota,landcruiser, V8 Diesel 4x4 D/...,"799,000","135,000",2016,Manual,https://www.namcars.net/Toyota-Landcruiser-V8-Diesel-4x4-D-Cab-1400734640,4x4,Bakkie,,,,
Toyota,fortuner, 2.4 GD6 4x4 7 Seater,"435,000","135,000",2018,Automatic,https://www.namcars.net/Toyota-Fortuner-2.4-GD6-4x4-7-Seater-1400731115,4x4,,SUV,,,
Toyota,hilux, DC 2.8GD6 4x2 Raider AT,"429,900","134,600",2017,Automatic,https://www.namcars.net/Toyota-Hilux-DC-2.8GD6-4x2-Raider-AT-1400734964,,Bakkie,,,,
Audi,a4, Quattro,"175,000","134,257",2012,Automatic,https://www.namcars.net/Audi-A4-Quattro-1400734953,,,,,,
Toyota,rav4, GX,"349,995","134,000",2019,Automatic,https://www.namcars.net/Toyota-Rav4-GX-1400734988,,,SUV,,,
Volkswagen,polo, (6) 1.4 COMFORTLINE,"179,900","134,000",2018,Manual,https://www.namcars.net/Volkswagen-POLO-(6)-1.4-COMFORTLINE-1400733082,,,,,,
Toyota,fj, Cruiser 4.0 V6,"509,900","134,000",2018,Automatic,https://www.namcars.net/Toyota-FJ-Cruiser-4.0-V6-1400729248,4x4,,SUV,,,
Mercedes-Benz,v, 250 Bluetec Avantgarde A/T,"679,900","134,000",2016,Automatic,https://www.namcars.net/Mercedes-Benz-V-250-Bluetec-Avantgarde-A-T-1400734194,,,,,,
Volkswagen,amarok, Canyon 3.0TDI V6 4Mot...,"529,000","133,000",2020,Automatic,https://www.namcars.net/Volkswagen-Amarok-Canyon-3.0TDI-V6-4Motion-D-C-P-U-1400733986,4x4,Bakkie,,,,
Toyota,hilux, D/C 2.4 GD-6 SRX 4x4 P...,"499,900","133,000",2019,Manual,https://www.namcars.net/Toyota-Hilux-D-C-2.4-GD-6-SRX-4x4-PU-MT-1400735043,4x4,Bakkie,,,,
Toyota,fortuner, 4.0 V6 4x4 Auto,"359,900","133,000",2016,Automatic,https://www.namcars.net/Toyota-Fortuner-4.0-V6-4x4-Auto-1400734796,4x4,,SUV,,,
Suzuki,baleno, 1.4 GLX,"199,900","132,400",2021,Manual,https://www.namcars.net/Suzuki-Baleno-1.4-GLX-1400732649,,,,,,
Opel,astra, 1.4T ENJOY 5DR A/T,"189,900","132,000",2016,Automatic,https://www.namcars.net/Opel-ASTRA-1.4T-ENJOY-5DR-A-T-1400734772,,,,,,
Renault,clio, IV 900 T Dynamique 5-Do...,"89,000","132,000",2014,Manual,https://www.namcars.net/Renault-Clio-IV-900-T-Dynamique-5-Door-(66-KW)-1400735038,,,,,,
Opel,adam, 1.0T GLAM/SLAM 3DR 2015,"125,000","132,000",2015,Manual,https://www.namcars.net/Opel-Adam-1.0T-GLAM-SLAM-3DR-2015-1400733376,,,,,,
Nissan,Juke,-,"135,000","132,000",2014,Manual,https://www.namcars.net/Nissan-Juke-1400733652,,,SUV,,,
Chevrolet,spark, 1.2 LS Black Edition,"89,900","132,000",2015,Manual,https://www.namcars.net/Chevrolet-Spark-1.2-LS-Black-Edition-1400734717,,,,,,
Volkswagen,tiguan, 2.0 TDI Highline 4MOT...,"414,900","131,300",2018,DSG,https://www.namcars.net/Volkswagen-Tiguan-2.0-TDI-Highline-4MOT-DSG-1400733602,,,SUV,,,
Mercedes-Benz,c, 200 BE automatic,"189,900","131,000",2014,Automatic,https://www.namcars.net/Mercedes-Benz-C-200-BE-automatic-1400734049,,,,,,
Toyota,hilux, 4.0 V6 Raider 4x4 A/t ...,"519,000","131,000",2018,Automatic,https://www.namcars.net/Toyota-Hilux-4.0-V6-Raider-4x4-A-t-P-u-D-c-1400735097,4x4,Bakkie,,,,
Volkswagen,caddy, 2.0TDI,"164,900","130,600",2012,Manual,https://www.namcars.net/Volkswagen-CADDY-2.0TDI-1400733184,,,,,,
Toyota,etios, 1.5 Xi Hatchback,"145,700","130,000",2019,Manual,https://www.namcars.net/Toyota-Etios-1.5-Xi-Hatchback-1400731997,,,,,,
Opel,MOKKA,-,"179,000","130,000",2016,Manual,https://www.namcars.net/Opel-MOKKA-1400728183,,,SUV,,,
Peugeot,3008, 1.6 THP ACTIVE A/T,"239,900","130,000",2018,Automatic,https://www.namcars.net/Peugeot-3008-1.6-THP-ACTIVE-A-T-1400734620,,,SUV,,,
Toyota,gd6, 2.8 Automatic 4x4,"459,000","130,000",2017,Automatic,https://www.namcars.net/Toyota-GD6-2.8-Automatic-4x4-1400734638,4x4,Bakkie,,,,
Toyota,hilux, 2.8GD6 A/T 4X4 D/C,"585,900","130,000",2019,Automatic,https://www.namcars.net/Toyota-HILUX-2.8GD6-A-T-4X4-D-C-1400734913,4x4,Bakkie,,,,
Kia,k2500, D/side,"199,900","130,000",2015,Manual,https://www.namcars.net/Kia-K2500-D-side-1400733380,,,,,,
Chevrolet,cruze, 1.6 L Sedan,"98,000","130,000",2015,Manual,https://www.namcars.net/Chevrolet-Cruze-1.6-L-Sedan-1400734460,,,,,,
Nissan,qashqai, 1.6 Visia,"139,900","129,900",2014,Manual,https://www.namcars.net/Nissan-Qashqai-1.6-Visia-1400733670,,,SUV,,,
Audi,q7, 3.0 TDI V6 QUATTRO TIP (4...,"389,900","129,000",2015,Automatic,https://www.namcars.net/Audi-Q7-3.0-TDI-V6-QUATTRO-TIP-(45-TDI)-1400730469,,,SUV,,,
Ford,ranger, 2.2tdci Xl 4x4 P/u D/c,"329,000","128,800",2017,Manual,https://www.namcars.net/Ford-Ranger-2.2tdci-Xl-4x4-P-u-D-c-1400735128,4x4,Bakkie,,,,
Mitsubishi,pajero, GLS Exceed 7 Seater,"285,000","128,500",2012,Multitronic,https://www.namcars.net/Mitsubishi-Pajero-GLS-Exceed-7-Seater-1400729645,4x4,,SUV,,,
Toyota,c-hr, 1.2T Plus CVT,"255,900","128,500",2017,Automatic,https://www.namcars.net/Toyota-C-HR-1.2T-Plus-CVT-1400734899,,,,,,
Ford,ranger, 2.2 Tdci XLS 4x4 A/T DC,"475,000","128,000",2021,Automatic,https://www.namcars.net/Ford-Ranger-2.2-Tdci-XLS-4x4-A-T-DC-1400729125,4x4,Bakkie,,,,
BMW,bmw, 320 D M Sport a/t,"239,900","128,000",2016,Automatic,https://www.namcars.net/BMW-BMW-320-D-M-Sport-a-t-1400734512,,,,,,
Ford,ranger, 2.2TDCI D/C 4X4,"449,900","128,000",2021,Automatic,https://www.namcars.net/Ford-RANGER-2.2TDCI-D-C-4X4-1400734922,4x4,Bakkie,,,,
Mercedes-Benz,glc, 250 4MATIC,"399,000","128,000",2016,Automatic,https://www.namcars.net/Mercedes-Benz-GLC-250-4MATIC-1400733947,,,SUV,,,
Toyota,landcruiser, 79 4.5D D/C 4x4,"759,000","127,396",2017,Manual,https://www.namcars.net/Toyota-Landcruiser-79-4.5D-D-C-4x4-1400733156,4x4,Bakkie,,,,
Toyota,hilux, 2.4 GD6 SRX 4X2 EXT/CAB,"339,900","127,000",2017,Manual,https://www.namcars.net/Toyota-HILUX-2.4-GD6-SRX-4X2-EXT-CAB-1400734892,,,,,,
Suzuki,jimny, GLX,"309,995","127,000",2021,Automatic,https://www.namcars.net/Suzuki-Jimny-GLX-1400734443,4x4,,SUV,,,
Nissan,almera, 1.5 Acenta,"115,000","126,000",2018,Manual,https://www.namcars.net/Nissan-Almera-1.5-Acenta-1400729155,,,,,,
Nissan,np300,  4X4 M/T,"229,900","125,000",2015,Manual,https://www.namcars.net/Nissan-NP300-4X4-M-T-1400735080,4x4,Bakkie,,,,
Mercedes-Benz,b180, BE CDi (Diesel),"159,900","125,000",2013,Automatic,https://www.namcars.net/Mercedes-Benz-B180-BE-CDi-(Diesel)-1400732303,,,,,,
Ford,figo, 1.4 TDCI AMB,"89,900","125,000",2014,Manual,https://www.namcars.net/Ford-FIGO-1.4-TDCI-AMB-1400733413,,,,,,
Toyota,hilux, 2.0 Vvti A/c P/u S/c,"279,000","124,500",2020,Manual,https://www.namcars.net/Toyota-Hilux-2.0-Vvti-A-c-P-u-S-c-1400733757,,,,,,
Audi,q7, 3.0TDI QUATTRO A/T EXECUT...,"499,900","124,200",2017,Automatic,https://www.namcars.net/Audi-Q7-3.0TDI-QUATTRO-A-T-EXECUTIVE-1400732229,,,,,,
Volkswagen,tiguan, 1.4 TSi Comfortline M...,"309,900","124,000",2016,Manual,https://www.namcars.net/Volkswagen-Tiguan-1.4-TSi-Comfortline-Manual-1400734303,,,,,,
Isuzu,isuzu, D-MAX 300 LX 4x4 D/C P/U,"399,000","124,000",2019,Automatic,https://www.namcars.net/Isuzu-Isuzu-D-MAX-300-LX-4x4-D-C-P-U-1400733056,4x4,Bakkie,,,,
Ford,ranger, XLT,"339,995","124,000",2016,Automatic,https://www.namcars.net/Ford-Ranger-XLT-1400735114,4x4,Bakkie,,,,
Ford,ranger, 2.0D XLT 4X2 A/T,"364,900","123,000",2019,Automatic,https://www.namcars.net/Ford-Ranger-2.0D-XLT-4X2-A-T-1400733448,4x4,Bakkie,,,,
Volkswagen,vw, CC 3.6 V6 Bluemotion,"180,000","123,000",2011,DSG,https://www.namcars.net/Volkswagen-VW-CC-3.6-V6-Bluemotion-1400734501,,,,,,
Toyota,dyna, 150 C/C 1.5 T Close Body,"269,900","123,000",2020,Manual,https://www.namcars.net/Toyota-Dyna-150-C-C-1.5-T-Close-Body-1400732978,,,,,,
Volkswagen,polo, TSI Trendline,"149,995","123,000",2015,Manual,https://www.namcars.net/Volkswagen-POLO-TSI-Trendline-1400734022,,,,,,
Toyota,toyota, FORTUNER 2.4 4X2 A/T,"359,000","123,000",2017,Automatic,https://www.namcars.net/Toyota-TOYOTA-FORTUNER-2.4-4X2-A-T-1400735121,,,SUV,,,
Toyota,hilux, 2.8  GD6 D/C RAIDER 4X2,"537,000","123,000",2021,Automatic,https://www.namcars.net/Toyota-Hilux-2.8-GD6-D-C-RAIDER-4X2-1400732309,,Bakkie,,,,
Nissan,navara, 2.5D SE Plus 4X2 MT DC,"440,000","123,000",2022,Manual,https://www.namcars.net/Nissan-Navara-2.5D-SE-Plus-4X2-MT-DC-1400733655,,Bakkie,,,,
Toyota,hilux,-,"590,000","122,700",2019,Automatic,https://www.namcars.net/Toyota-hilux-1400730847,4x4,Bakkie,,,,
Audi,q5, Stronic Quatro TDI,"479,995","122,000",2018,DSG,https://www.namcars.net/Audi-Q5-Stronic-Quatro-TDI-1400734982,,,SUV,,,
BMW,z4,3,"169,000","122,000",2006,Automatic,https://www.namcars.net/BMW-Z4-3.0-1400734823,,,,,,
Volkswagen,caravelle, 2.0TDI 132kw  4-MO...,"639,900","122,000",2016,Tiptronic,https://www.namcars.net/Volkswagen-Caravelle-2.0TDI-132kw-4-MOTION-DSG-(-DEPOSIT-ASSISTANCE-)-1400733574,,,,,,
Toyota,land, Cruiser 4.0 V6 S/C 4x4,"449,900","122,000",2011,Manual,https://www.namcars.net/Toyota-Land-Cruiser-4.0-V6-S-C-4x4-1400734636,4x4,,,,,
Isuzu,D-Max,-,"388,400","122,000",2020,Manual,https://www.namcars.net/Isuzu-D-Max-1400733402,4x4,Bakkie,,,,
